Entidad,Municipio,Cargo,Nombre de regiduría,Número de lista,Distrito,Tipo de Candidatura,Coalición,Partido político,Nombre,Género de propietaria,Acción Afirmativa
Aguascalientes,Aguascalientes,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,Movimiento Ciudadano,KARLA ARELY ESPINOZA ESPARZA,female,NO
Aguascalientes,Aguascalientes,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,MORENA,MARTHA CECILIA MARQUEZ ALVARADO,female,NO
Aguascalientes,Asientos,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,Partido del Trabajo,DULCE MARIA FERNANDEZ ORTIZ,female,NO
Aguascalientes,Asientos,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,Movimiento Ciudadano,MERCEDES MONSERRAT MORFIN NEGRETE,female,NO
Aguascalientes,Calvillo,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,Partido del Trabajo,VIRIDIANA GUTIERREZ GAMEZ,female,NO
Aguascalientes,Calvillo,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,PVEM,MARIA CRISTINA VELASCO VALLE,female,NO
Aguascalientes,Calvillo,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,Movimiento Ciudadano,MARTHA XIMENA DE LEON BELLOSO,female,Diversidad sexual y de Género
Aguascalientes,Cosío,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,Partido del Trabajo,ELIZABETH GARCIA DIOSDADO,female,NO
Aguascalientes,Cosío,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,Movimiento Ciudadano,LUZ MARIA PADILLA DE LUNA,female,NO
Aguascalientes,Cosío,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,MORENA,DIANA ALVARADO AVILA,female,NO
Aguascalientes,Cosío,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Fuerza y Corazón por Aguascalientes,Sin información,JULIA ESMERALDA CARDONA NAVA,female,NO
Aguascalientes,Jesús María,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,MORENA,MARIA DEL CARMEN GONZALEZ POSADAS,female,NO
Aguascalientes,Pabellón de Arteaga,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,Partido del Trabajo,GALISMA ELIZABETH MORENO SERRANO,female,NO
Aguascalientes,Pabellón de Arteaga,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,MORENA,EDITH HORNEDO ROMO,female,NO
Aguascalientes,Pabellón de Arteaga,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Fuerza y Corazón por Aguascalientes,Sin información,LUCERO ESPINOZA VAZQUEZ,female,NO
Aguascalientes,Rincón de Romos,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,Partido del Trabajo,NORA NAYELI ROMERO HERNANDEZ,female,NO
Aguascalientes,Rincón de Romos,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,PVEM,PATRICIA RANGEL RUIZ,female,NO
Aguascalientes,San José de Gracia,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,Partido del Trabajo,YESSICA REBECA GONGORA SANTAMARIA,female,NO
Aguascalientes,San José de Gracia,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,PVEM,MARIA GUADALUPE MENDEZ SALAZAR,female,NO
Aguascalientes,San José de Gracia,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,MORENA,JUANA IMELDA LLAMAS TAVAREZ,female,NO
Aguascalientes,San José de Gracia,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Fuerza y Corazón por Aguascalientes,Sin información,LAURA ARACELI GONZALEZ REYES,female,NO
Aguascalientes,Tepezalá,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,Partido del Trabajo,ANTONIA CERVANTES MACIAS,female,NO
Aguascalientes,Tepezalá,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,PVEM,CRISTINA RODRIGUEZ VILLALOBOS,female,NO
Aguascalientes,Tepezalá,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,Movimiento Ciudadano,ROMINA GABRIELA GUTIERREZ RODELO,female,NO
Aguascalientes,Tepezalá,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Sin información,MORENA,CELIA VILLALOBOS MACIAS,female,NO
Aguascalientes,Tepezalá,Presidencias municipales,Sin información,Sin información,Sin información,Sin información,Fuerza y Corazón por Aguascalientes,Sin información,LETICIA OLIVARES JIMENEZ,female,NO
